"Roseland & 8th","Glenwood & Erwin","Gentry & Loop 323","Erwin & Lyons","Roseland & 8th"
"6:00","6:05","6:12","6:20","6:28"
"7:00","7:06","7:15","7:23","7:35"
"8:20","8:26","8:35","8:42","8:55"
"9:40","9:46","9:55","10:03","10:15"
"11:00","11:06","11:15","11:23","11:35"
"12:20","12:26","12:35","12:42","12:55"
"1:40","1:46","1:55","2:03","2:15"
"3:00","3:06","3:15","3:23","3:35"
"4:20","4:26","4:35","4:42","4:55"
"5:40","5:46","5:54","6:02","6:10"
"6:45","6:49","6:55","7:03","7:13"
"7:40","7:45","7:52","8:00","8:10"
