"Roseland & 8th","Broadway & Gentry","Gentry & Glenwood","Houston & Beckham","Roseland & 8th"
"6:00","6:09","6:17","6:22","6:28"
"6:30","6:35","6:45","6:50","7:00"
"7:00","7:10","7:20","7:28","7:35"
"7:40","7:45","7:52","8:05","8:15"
"8:20","8:30","8:40","8:48","8:55"
"9:00","9:05","9:12","9:25","9:35"
"9:40","9:50","10:00","10:08","10:15"
"10:20","10:25","10:32","10:45","10:55"
"11:00","11:10","11:20","11:28","11:35"
"11:40","11:45","11:52","12:05","12:15"
"12:20","12:30","12:40","12:48","12:55"
"1:00","1:05","1:12","1:25","1:35"
"1:40","1:50","2:00","2:08","2:15"
"2:20","2:25","2:32","2:45","2:55"
"3:00","3:10","3:20","3:28","3:35"
"3:40","3:45","3:52","4:05","4:15"
"4:20","4:30","4:40","4:48","4:55"
"5:00","5:05","5:12","5:25","5:33"
"5:40","5:50","6:00","6:08","6:12"
"6:15","6:20","6:27","6:35","6:38"
"6:45","6:52","6:57","7:05","7:13"
"7:15","7:20","7:27","7:37","7:43"
"7:45","7:50","8:00","8:08","8:14"
