Roseland & 8th,Glenwood & Erwin,Gentry & Loop 323,Erwin & Lyons,Roseland & 8th
6:00 AM,6:05 AM,6:12 AM,6:20 AM,6:28 AM
7:00 AM,7:06 AM,7:15 AM,7:23 AM,7:35 AM
8:20 AM,8:26 AM,8:35 AM,8:42 AM,8:55 AM
9:40 AM,9:46 AM,9:55 AM,10:03 AM,10:15 AM
11:00 AM,11:06 AM,11:15 AM,11:23 AM,11:35 AM
12:20 PM,12:26 PM,12:35 PM,12:42 PM,12:55 PM
1:40 PM,1:46 PM,1:55 PM,2:03 PM,2:15 PM
3:00 PM,3:06 PM,3:15 PM,3:23 PM,3:35 PM
4:20 PM,4:26 PM,4:35 PM,4:42 PM,4:55 PM
5:40 PM,5:46 PM,5:54 PM,6:02 PM,6:10 PM
6:45 PM,6:49 PM,6:55 PM,7:03 PM,7:13 PM
7:40 PM,7:45 PM,7:52 PM,8:00 PM,8:10 PM
