Roseland & 8th,Frankston & Walton,Loop 323 & Front,Bellwood & Houston,Roseland & 8th
6:30 AM,6:38 AM,6:43 AM,6:48 AM,6:55 AM
7:40 AM,7:49 AM,7:56 AM,8:02 AM,8:15 AM
9:00 AM,9:09 AM,9:16 AM,9:22 AM,9:35 AM
10:20 AM,10:29 AM,10:36 AM,10:42 AM,10:55 AM
11:40 AM,11:49 AM,11:56 AM,12:02 PM,12:15 PM
1:00 PM,1:09 PM,1:16 PM,1:22 PM,1:35 PM
2:20 PM,2:29 PM,2:36 PM,2:42 PM,2:55 PM
3:40 PM,3:49 PM,3:56 PM,4:02 PM,4:15 PM
5:00 PM,5:09 PM,5:16 PM,5:22 PM,5:35 PM
6:15 PM,6:23 PM,6:28 PM,6:33 PM,6:38 PM
7:15 PM,7:23 PM,7:28 PM,7:33 PM,7:38 PM
