Roseland & 8th,Beckham & Gentry,Broadway & M.L. King,Golden & 5th,Roseland & 8th
6:00 AM,6:10 AM,6:15 AM,6:20 AM,6:28 AM
7:00 AM,7:10 AM,7:15 AM,7:20 AM,7:35 AM
8:20 AM,8:30 AM,8:35 AM,8:40 AM,8:55 AM
9:40 AM,9:50 AM,9:55 AM,10:00 AM,10:15 AM
11:00 AM,11:10 AM,11:15 AM,11:20 AM,11:35 AM
12:20 PM,12:30 PM,12:35 PM,12:40 PM,12:55 PM
1:40 PM,1:50 PM,1:55 PM,2:00 PM,2:15 PM
3:00 PM,3:10 PM,3:15 PM,3:20 PM,3:35 PM
4:20 PM,4:30 PM,4:35 PM,4:40 PM,4:55 PM
5:40 PM,5:50 PM,5:55 PM,6:00 PM,6:10 PM
6:45 PM,6:53 PM,6:58 PM,7:03 PM,7:12 PM
7:45 PM,7:53 PM,7:58 PM,8:03 PM,8:12 PM
