Roseland & 8th,Broadway & Loop 323,Broadway & Heritage,Broadway & Shiloh,Roseland & 8th
6:00 AM,6:09 AM,6:17 AM,6:22 AM,6:28 AM
6:30 AM,6:35 AM,6:45 AM,6:50 AM,7:00 AM
7:00 AM,7:10 AM,7:20 AM,7:28 AM,7:35 AM
7:40 AM,7:45 AM,7:52 AM,8:05 AM,8:15 AM
8:20 AM,8:30 AM,8:40 AM,8:48 AM,8:55 AM
9:00 AM,9:05 AM,9:12 AM,9:25 AM,9:35 AM
9:40 AM,9:50 AM,10:00 AM,10:08 AM,10:15 AM
10:20 AM,10:25 AM,10:32 AM,10:45 AM,10:55 AM
11:00 AM,11:10 AM,11:20 AM,11:28 AM,11:35 AM
11:40 AM,11:45 AM,11:52 AM,12:05 PM,12:15 PM
12:20 PM,12:30 PM,12:40 PM,12:48 PM,12:55 PM
1:00 PM,1:05 PM,1:12 PM,1:25 PM,1:35 PM
1:40 PM,1:50 PM,2:00 PM,2:08 PM,2:15 PM
2:20 PM,2:25 PM,2:32 PM,2:45 PM,2:55 PM
3:00 PM,3:10 PM,3:20 PM,3:28 PM,3:35 PM
3:40 PM,3:45 PM,3:52 PM,4:05 PM,4:15 PM
4:20 PM,4:30 PM,4:40 PM,4:48 PM,4:55 PM
5:00 PM,5:05 PM,5:12 PM,5:25 PM,5:33 PM
5:40 PM,5:50 PM,6:00 PM,6:08 PM,6:12 PM
6:15 PM,6:20 PM,6:27 PM,6:35 PM,6:38 PM
6:45 PM,6:52 PM,6:57 PM,7:05 PM,7:13 PM
7:15 PM,7:20 PM,7:27 PM,7:37 PM,7:43 PM
7:45 PM,7:50 PM,8:00 PM,8:08 PM,8:14 PM
